manu_id,manu_sku,product_name,,prod_page_url
3,WTT-QF08,Quick Fix Screwdriver Pen,,https://www.arielpremium.com/product/WTT-QF08
3,WEE-CL06,Magnifying Card Light,,https://www.arielpremium.com/product/WEE-CL06
3,WTT-EM11,Emergency Multi-Tool LED Light,,https://www.arielpremium.com/product/WTT-EM11
3,WTT-ML11,Multi-Head Lighted Screwdriver,,https://www.arielpremium.com/product/WTT-ML11
3,WTT-CF07,Carabiner Screwdriver with Flashlight,,https://www.arielpremium.com/product/WTT-CF07
3,WCP-LC16,Silicone Lanyard Smart Phone and Card Holder,,https://www.arielpremium.com/product/WCP-LC16
3,WEE-HC01,Handle Cozy,,https://www.arielpremium.com/product/WEE-HC01
3,ETC-03E5,Polyester and EVA Zippered Earbud Case,,https://www.arielpremium.com/product/ETC-03E5
3,ETV-CB16,Compact Wireless Keyboard with Stand,,https://www.arielpremium.com/product/ETV-CB16
3,WCP-EW16,Expandable Lycra Phone Wallet,,https://www.arielpremium.com/product/WCP-EW16
3,ETA-04W5,World Traveler - 4 USB Port Universal Travel Adapt,,https://www.arielpremium.com/product/ETA-04W5
3,ETV-CT18,Concerto True Wireless Earbuds,,https://www.arielpremium.com/product/ETV-CT18
3,WCP-PB10,Power Booster Portable Charger,,https://www.arielpremium.com/product/WCP-PB10
3,WCP-WP11,Wings Dual Power Bank Porta-Charger,,https://www.arielpremium.com/product/WCP-WP11
3,EPB-JS18,Jump-Start Power Bank Keychain,,https://www.arielpremium.com/product/EPB-JS18
3,EPB-40S7,Slim-Line 4000mAh Power Bank,,https://www.arielpremium.com/product/EPB-40S7
3,WTV-AR13,Auto Recoil Earbuds,,https://www.arielpremium.com/product/WTV-AR13
3,ETV-QA18,Quest Wireless Audio Headband,,https://www.arielpremium.com/product/ETV-QA18
3,WTV-MG16,Mini Comfy Grip Selfie Stick,,https://www.arielpremium.com/product/WTV-MG16
3,WCP-ST17,Store & Stand Mobile Wallet,,https://www.arielpremium.com/product/WCP-ST17
3,EPB-EL18,Envoy 4000mAh Leather Power Bank,,https://www.arielpremium.com/product/EPB-EL18
3,ETC-09A5,TEC Medium Computer Accessory Case,,https://www.arielpremium.com/product/ETC-09A5
3,WTV-DP16,Dual Port USB Adapter with Foldable Prongs,,https://www.arielpremium.com/product/WTV-DP16
3,WCP-PF18,3-in-1 Mini Phone Fan,,https://www.arielpremium.com/product/WCP-PF18
3,WCP-EP11,Easel Dual Power Bank Porta-Charger,,https://www.arielpremium.com/product/WCP-EP11
3,ETV-HT17,Harmony True Wireless Earbuds & 2000mAh Power Bank,,https://www.arielpremium.com/product/ETV-HT17
3,ETV-MW18,Melody Wireless Earbuds,,https://www.arielpremium.com/product/ETV-MW18
3,WCP-ML18,MagnaLoop Charging Cable,,https://www.arielpremium.com/product/WCP-ML18
3,ETV-EF17,Easy Flex Wireless Headset,,https://www.arielpremium.com/product/ETV-EF17
3,WTV-CG16,Comfy Grip Selfie Stick,,https://www.arielpremium.com/product/WTV-CG16
3,WTV-US16,AC-USB Adapter with Foldable Prongs,,https://www.arielpremium.com/product/WTV-US16
3,WCP-SM16,Smart Mobile Wallet with Phone Stand & Screen Clea,,https://www.arielpremium.com/product/WCP-SM16
3,WLT-FB13,USB Flex LED Light,,https://www.arielpremium.com/product/WLT-FB13
3,WCP-MW15,Plastic Credit Card Mobile Wallet,,https://www.arielpremium.com/product/WCP-MW15
3,ESP-NS18,Nexus Swivel Wireless Speaker,,https://www.arielpremium.com/product/ESP-NS18
3,EPB-80D5,Dependable - 8000mAh Car Starter/Cell Power Bank,,https://www.arielpremium.com/product/EPB-80D5
3,WCP-CL16,ChargerLeash 2-in-1 Smart Alarm Charging Cable,,https://www.arielpremium.com/product/WCP-CL16
3,WTV-SD17,Storage Disc Clip with Earbuds,,https://www.arielpremium.com/product/WTV-SD17
3,ETC-10T5,TEC Adjustable Tablet Case with Accessory Organizer,,https://www.arielpremium.com/product/ETC-10T5
3,EPB-20R5,Ready to Go - 2000mAh Power Bank with cable,,https://www.arielpremium.com/product/EPB-20R5
3,ESP-FC18,Fusion 22 oz Combo Water Bottle & Wireless Speaker,,https://www.arielpremium.com/product/ESP-FC18
3,WCP-SW16,Snap it Mobile Wallet with Phone Stand,,https://www.arielpremium.com/product/WCP-SW16
3,ESP-SC17,Superstar Combo Wireless Microphone And Speaker,,https://www.arielpremium.com/product/ESP-SC17
3,WCP-IN14,In-Style Power Bank,,https://www.arielpremium.com/product/WCP-IN14
3,EPB-PP18,Pearl 4000mAh Power Bank,,https://www.arielpremium.com/product/EPB-PP18
3,ETC-06C5,TEC Small Cable Organizer,,https://www.arielpremium.com/product/ETC-06C5
3,ETV-TS17,Top Sound Noise Cancellation Wireless Folding Headphones,,https://www.arielpremium.com/product/ETV-TS17
3,ETC-08A5,TEC Small Computer Accessory Case,,https://www.arielpremium.com/product/ETC-08A5
3,WCP-FF14,USB Flex Fan,,https://www.arielpremium.com/product/WCP-FF14
3,WTV-CD17,Color Changing Night Light with Dual USB Wall Charger,,https://www.arielpremium.com/product/WTV-CD17
3,WSP-PH15,Powerhouse Bluetooth Speaker,,https://www.arielpremium.com/product/WSP-PH15
3,WTV-EC15,Easy Clip Headphones,,https://www.arielpremium.com/product/WTV-EC15
3,ESP-SD17,Sound Dome Wireless Speaker,,https://www.arielpremium.com/product/ESP-SD17
3,LTV-CS15,Cushy Earbud Keeper,,https://www.arielpremium.com/product/LTV-CS15
3,WTV-BF17,USBreeze Bendy Mini Fan,,https://www.arielpremium.com/product/WTV-BF17
